Package;File;Feature;Technology;No. indicators found;Indicator Type;Confidence
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.persistence;DefaultPostLoaderDao.java;EntityManager;JPA;6;->;0.866667
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.persistence;ArchiveStatus.java;Specifying Columns for fields;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.persistence;ArchiveStatus.java;Embeddable Classes in Entities;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.security.handler;CsrfFilter.java;Autowiring;Spring Beans;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.security.handler;SecurityFilter.java;Autowiring;Spring Beans;3;->;0.800000
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.config;RuntimeEnvironmentPropertiesConfigurer.java;Autowiring;Spring Beans;2;->;0.733333
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
src.main.java.org.broadleafcommerce.common.config.dao;SystemPropertiesDaoImpl.java;Persistence Contexts;JPA;2;->;0.733333
;;;;;Importing;0.300000
;;;;;TypeUsage;0.900000
;;;;;TypeUsage;0.900000
src.main.java.org.broadleafcommerce.common.config.dao;SystemPropertiesDaoImpl.java;EntityManager;JPA;3;->;0.800000
;;;;;Importing;0.300000
;;;;;Annotation;0.900000
