Package,File,Feature,Technology,Confidence,Used
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,EJBSessionService.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,StatefulService.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,AbstractServiceBean.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,StatelessServiceBean.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,StatelessService.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,StatefulServiceHome.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb.bean,StatelessServiceHome.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.platform.service.impl.ejb,EJBServiceLocator.java,Session,Hibernate,0.46666667,N
framework.src.org.plazmaforge.framework.report,ReportEngine.java,DataSource,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.report,AbstractReportEngine.java,DataSource,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.report.engine.jasperreports,JasperReportsEngine.java,DataSource,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.report.engine.jasperreports,TableDataSource.java,DataSource,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.dao,DAOContext.java,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.src.org.plazmaforge.framework.service.impl,AbstractEntityService.java,EntityManager,JPA,0.46666667,N
framework.src.org.plazmaforge.framework.service.impl,AbstractDao.java,EntityManager,JPA,0.46666667,N
framework.src,log4j.properties,Establishing direct Database Connection,Java SQL,0.46666667,N
framework.classes,log4j.properties,Establishing direct Database Connection,Java SQL,0.46666667,N
bs.base.src.org.plazmaforge.bsolution.project.server.services,ERMProjectContextService.java,EntityManager,JPA,0.46666667,N
bs.base.src.org.plazmaforge.bsolution.project.server.services,ERMTaskContextService.java,EntityManager,JPA,0.46666667,N
bs.base.src.org.plazmaforge.bsolution.project.server.services,ERMProjectService.java,EntityManager,JPA,0.46666667,N
bs.base.src.org.plazmaforge.bsolution.project.server.entities,Task.erm.xml,JDBC Work,Hibernate,0.46666667,N
bs.base.src.org.plazmaforge.bsolution.project.server.entities,TaskWorkerLink.erm.xml,JDBC Work,Hibernate,0.46666667,N
